reg_lambda,reg_alpha,num_leaves,n_estimators,max_depth,learning_rate,feature_fraction,bagging_fraction,Modelo,Metodo,ETF,date
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-01-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-01-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-01-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLF,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-01-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLY,2019-01-03
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-01-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-01-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-01-03
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,IYR,2019-01-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-02-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-02-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-02-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,IYR,2019-02-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,VOX,2019-02-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-03-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLI,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-03-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-03-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-03-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-03-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,IYR,2019-03-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-04-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-04-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-04-01
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2019-04-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-04-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-04-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLE,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-05-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLI,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-05-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-05-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-05-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLP,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-05-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-05-01
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2019-05-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-05-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-05-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLI,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-06-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-06-03
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLF,2019-06-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLP,2019-06-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2019-06-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLV,2019-06-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLU,2019-06-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,VOX,2019-06-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,IYR,2019-06-03
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLE,2019-07-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLI,2019-07-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-07-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-07-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-07-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-07-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLP,2019-07-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-07-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-07-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLU,2019-07-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,VOX,2019-07-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-07-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLE,2019-08-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLI,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-08-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-08-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-08-01
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-08-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLU,2019-08-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,VOX,2019-08-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-08-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLE,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-09-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-09-03
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-09-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-09-03
1,0.1,40,200,20,0.01,0.6,0.8,LGBMR,random,XLV,2019-09-03
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLU,2019-09-03
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,IYR,2019-09-03
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,VOX,2019-09-03
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLE,2019-10-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-10-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-10-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLK,2019-10-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-10-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLF,2019-10-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-10-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLP,2019-10-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLV,2019-10-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLU,2019-10-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,IYR,2019-10-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,VOX,2019-10-01
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-11-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-11-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-11-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLI,2019-11-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-11-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLF,2019-11-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLY,2019-11-01
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLP,2019-11-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,XLV,2019-11-01
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2019-11-01
1,0.1,40,200,20,0.1,0.8,0.6,LGBMR,random,VOX,2019-11-01
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,IYR,2019-11-01
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2019-12-02
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2019-12-02
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLE,2019-12-02
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2019-12-02
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2019-12-02
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLF,2019-12-02
1,0.1,40,100,20,0.01,0.6,0.6,LGBMR,random,XLY,2019-12-02
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLP,2019-12-02
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2019-12-02
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2019-12-02
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2019-12-02
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,VOX,2019-12-02
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,SPY,2020-01-02
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLE,2020-01-02
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,XLF,2020-01-02
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLY,2020-01-02
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLI,2020-01-02
1,0.1,40,300,20,0.1,0.6,0.8,LGBMR,random,XLK,2020-01-02
1,0.5,50,200,15,0.1,0.8,0.6,LGBMR,random,XLB,2020-01-02
1.5,0.1,50,200,15,0.01,0.8,0.8,LGBMR,random,XLV,2020-01-02
1.5,0.5,50,100,20,0.01,0.6,0.8,LGBMR,random,XLU,2020-01-02
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,IYR,2020-01-02
1.5,0.1,31,300,20,0.01,0.6,0.8,LGBMR,random,VOX,2020-01-02
147,0.0791216753852515,39,0.6765212535333207,0.7266760874982912,13,0.24089650445047486,1.0634153828430097,LGBMR,optuna,XLB,2019-01-03
119,0.04939649210444104,42,0.6740726800576925,0.6946682689873312,20,0.3123447238415189,1.1999681707092376,LGBMR,optuna,SPY,2019-01-03
170,0.061623648752515164,37,0.7281833503571981,0.638163551785229,18,0.10068739541134214,1.2871170396511005,LGBMR,optuna,XLY,2019-01-03
156,0.02114169023897754,36,0.7500042588712903,0.6809659336291684,20,0.3350735759980995,1.4415016343981015,LGBMR,optuna,XLP,2019-01-03
190,0.06277173163993083,41,0.654167362571399,0.6246669675164925,16,0.1343675676939205,1.1535576590250518,LGBMR,optuna,XLI,2019-01-03
180,0.03597431431188216,48,0.7327714210885223,0.693699604852856,14,0.32586664699177226,1.369862251822391,LGBMR,optuna,XLF,2019-01-03
251,0.07258559775570768,34,0.6695700501334853,0.7244322157100873,20,0.10029031048932636,1.1923531514442638,LGBMR,optuna,XLK,2019-01-03
244,0.036369751353449754,31,0.6006331089381527,0.656222658277166,10,0.2665862936799832,1.372126241161338,LGBMR,optuna,XLE,2019-01-03
120,0.048391337809387557,44,0.7077184036585679,0.7078364808947719,13,0.12485674909558964,1.444209770540717,LGBMR,optuna,IYR,2019-01-03
188,0.014348346294305252,50,0.78180307224916,0.684946368211691,13,0.1273473554976545,1.2478673653277088,LGBMR,optuna,XLV,2019-01-03
241,0.04290722140904738,45,0.6465833651874883,0.6123479067602362,20,0.4589933455492575,1.0018618404535964,LGBMR,optuna,VOX,2019-01-03
237,0.06224844401033275,39,0.7463195657159555,0.7709518037587018,11,0.10130775317225114,1.129765486336988,LGBMR,optuna,XLU,2019-01-03
133,0.028951086918740238,47,0.6706839200908836,0.6823107498424418,16,0.44797352504173693,1.433302414047273,LGBMR,optuna,XLP,2019-02-01
217,0.07314589758778843,48,0.723606411727552,0.6510391609664249,14,0.14209232341400424,1.3830236169640913,LGBMR,optuna,XLI,2019-02-01
186,0.03602416395984994,47,0.7957648246028076,0.7314547467601374,11,0.10075264386427578,1.3834806294321071,LGBMR,optuna,XLK,2019-02-01
243,0.06776107790635384,37,0.6515467145073836,0.6956573475271007,16,0.21590420489971207,1.123437641479915,LGBMR,optuna,XLB,2019-02-01
183,0.03730384186966452,31,0.7474742919059979,0.7278271441045914,14,0.10061578678190794,1.0153051132433208,LGBMR,optuna,XLF,2019-02-01
284,0.09819244727984458,48,0.6040076261930989,0.7896815604749663,13,0.44997601136488885,1.0208709561481146,LGBMR,optuna,SPY,2019-02-01
159,0.045771004558631354,50,0.7632169684654486,0.7062691116405699,16,0.13364347955099773,1.1993133599759958,LGBMR,optuna,XLV,2019-02-01
285,0.06232219647504905,31,0.6598362742728782,0.6024536111808088,20,0.10059774322995332,1.3879682368049202,LGBMR,optuna,XLY,2019-02-01
249,0.07253007756928054,40,0.6024148520085572,0.7612348448944738,16,0.1226340226515133,1.2251782226022996,LGBMR,optuna,XLE,2019-02-01
149,0.07540135822399224,35,0.6385516552224345,0.7459580578569026,18,0.22687774514774367,1.4019473258852604,LGBMR,optuna,IYR,2019-02-01
165,0.08118566392669509,43,0.739959936939735,0.730188621156129,12,0.1028592116912318,1.2854941322348556,LGBMR,optuna,XLU,2019-02-01
220,0.06122906828803312,43,0.6500598281300072,0.7697541938247289,11,0.16390214280916654,1.4860234086767723,LGBMR,optuna,VOX,2019-02-01
121,0.08023521364613595,40,0.6655413955562576,0.779681511588171,19,0.11831994640915604,1.2640543041896415,LGBMR,optuna,XLI,2019-03-01
101,0.017257521535740655,38,0.6025726575606745,0.7033443142773838,14,0.19585568590309566,1.2969636713899633,LGBMR,optuna,XLE,2019-03-01
139,0.06587747957019778,40,0.7961653693800594,0.7423581236807288,15,0.2506883866740105,1.0608131629703712,LGBMR,optuna,SPY,2019-03-01
118,0.039056169306713726,43,0.6641392502566689,0.7718974671450646,14,0.10014473589275585,1.279313549742752,LGBMR,optuna,XLY,2019-03-01
145,0.03920725652932425,34,0.798377088981,0.7134985142871678,16,0.10367654766016943,1.4905060445522216,LGBMR,optuna,XLF,2019-03-01
200,0.09843312780524663,45,0.6099146121130787,0.6916517069249729,13,0.4242260437523794,1.2954415683967717,LGBMR,optuna,XLB,2019-03-01
199,0.060547103831529836,31,0.6533452386870229,0.6961578212962292,11,0.10038334628703957,1.0956345416127324,LGBMR,optuna,XLK,2019-03-01
165,0.013016631500961794,42,0.765295548856435,0.7740450106629186,20,0.12297663652300593,1.0613847981105404,LGBMR,optuna,XLV,2019-03-01
267,0.02535339255166842,40,0.6858789090349586,0.7521113265827923,14,0.33231437904169786,1.3044728305974684,LGBMR,optuna,XLP,2019-03-01
140,0.06322808422297839,39,0.7683262613054965,0.680226179934883,11,0.10255669613721956,1.0396433958386913,LGBMR,optuna,IYR,2019-03-01
204,0.035934065730991976,45,0.6554941146178708,0.6249370573420642,20,0.3613361071841519,1.4687756391417068,LGBMR,optuna,VOX,2019-03-01
285,0.07257954960210512,48,0.7973108614256453,0.6113753377618703,17,0.10086834208695888,1.0061347492449966,LGBMR,optuna,XLU,2019-03-01
175,0.08702535563215451,45,0.7738121722615936,0.6673881545819624,16,0.15871038614055855,1.241463636877794,LGBMR,optuna,SPY,2019-04-01
284,0.07458100106453523,32,0.7942840156565876,0.7422077416072701,11,0.43897041147654403,1.173187614359141,LGBMR,optuna,XLP,2019-04-01
266,0.010201934338093823,48,0.6271423926025148,0.6702031708890074,15,0.2957720539737162,1.423124072766733,LGBMR,optuna,XLB,2019-04-01
299,0.04205777704773326,32,0.7222439625469652,0.7798682654081983,17,0.10006462892372184,1.4965905045960672,LGBMR,optuna,XLK,2019-04-01
276,0.058015480475736,41,0.7998532568308832,0.6570298751213941,15,0.1487305319276459,1.3207077183844167,LGBMR,optuna,XLI,2019-04-01
244,0.08416102140331366,42,0.6073954263442694,0.7680616135031043,11,0.14650633986794395,1.0537195632747567,LGBMR,optuna,XLE,2019-04-01
119,0.03671886747402345,40,0.712319538514338,0.6913448989935681,19,0.10120550889665922,1.0413821299177717,LGBMR,optuna,IYR,2019-04-01
278,0.04854315868681545,40,0.6231986667146532,0.7600693997189231,19,0.10101381458502681,1.3109699525595748,LGBMR,optuna,XLY,2019-04-01
203,0.05629414462808122,48,0.6302230759607093,0.728371715628324,15,0.4891275773914693,1.2066949452850964,LGBMR,optuna,VOX,2019-04-01
183,0.04100740580965294,36,0.6777345123629436,0.6447797396017964,20,0.12169343438101583,1.3011163445416942,LGBMR,optuna,XLV,2019-04-01
294,0.024614008602411995,31,0.6029350730641191,0.719516399304557,13,0.10179377986910418,1.1165482045133153,LGBMR,optuna,XLF,2019-04-01
223,0.06289181830681308,38,0.6778826196823036,0.659390436972618,17,0.49904828708098437,1.1573507924433943,LGBMR,optuna,XLU,2019-04-01
158,0.06247292775899218,34,0.772023057561411,0.6996587560907463,17,0.10026955426688525,1.362426979414978,LGBMR,optuna,XLK,2019-05-01
171,0.03929637289274535,37,0.7532194209969629,0.7553478574621131,19,0.1791815017960488,1.0556025817369763,LGBMR,optuna,XLB,2019-05-01
159,0.05737052594677674,37,0.6364764808369399,0.6211488526717466,13,0.13665325500686137,1.2735743205265606,LGBMR,optuna,XLI,2019-05-01
164,0.07393877605989593,40,0.6011476062062054,0.7975501742432594,13,0.1011665443742261,1.0169642722329983,LGBMR,optuna,XLF,2019-05-01
280,0.07641297713985269,35,0.743933884269464,0.6671062351699131,16,0.40051109968621335,1.2572654844757096,LGBMR,optuna,SPY,2019-05-01
245,0.034601353145204544,37,0.6000881667518232,0.7993506471483891,18,0.10133429910692834,1.413700150082881,LGBMR,optuna,XLP,2019-05-01
113,0.09841026037169072,31,0.6024720067755795,0.7448634548582473,16,0.499931093210011,1.0569083757185986,LGBMR,optuna,XLU,2019-05-01
102,0.07976105125842203,39,0.7062449594466818,0.641736926271384,16,0.12262110198142988,1.2919781268822914,LGBMR,optuna,IYR,2019-05-01
297,0.015147350987713321,41,0.7341728629816726,0.6090586215625312,19,0.45804728308648646,1.1660767115711699,LGBMR,optuna,XLY,2019-05-01
245,0.0499393364392241,42,0.786447666512998,0.7954952216037072,16,0.3912247372104515,1.0505447582697283,LGBMR,optuna,VOX,2019-05-01
267,0.04638190126721506,45,0.6033989574688241,0.6549626822053908,13,0.11060829545234645,1.1386397646593913,LGBMR,optuna,XLE,2019-05-01
299,0.042524406864542674,43,0.6849957973085913,0.7378363320070013,15,0.16248328846291576,1.2683479811792147,LGBMR,optuna,XLV,2019-05-01
173,0.043329199608827806,34,0.6002537503483847,0.7023288380064037,10,0.10038853592591014,1.499258155329965,LGBMR,optuna,XLE,2019-06-03
241,0.015857773896377544,34,0.7814562044017457,0.6171207396303137,18,0.43065728660474867,1.2250026936631209,LGBMR,optuna,XLB,2019-06-03
131,0.027349646442636558,31,0.757124865102989,0.6835606158941223,11,0.18649227398752216,1.277019293064015,LGBMR,optuna,XLI,2019-06-03
113,0.08506024865286234,41,0.738864952344008,0.795877462506559,10,0.1832519759864033,1.1103190105695449,LGBMR,optuna,XLP,2019-06-03
260,0.0832518638969588,31,0.6675253432089697,0.694242316231929,14,0.3511249721530846,1.3403356977217826,LGBMR,optuna,SPY,2019-06-03
200,0.012956972015936472,50,0.7977315102436815,0.6838682047014232,18,0.3834394600595007,1.128200090100233,LGBMR,optuna,XLF,2019-06-03
290,0.035379596792541046,35,0.6036969839880291,0.612549431741054,19,0.10413882320317908,1.0692941013681072,LGBMR,optuna,XLK,2019-06-03
147,0.07847081893281141,33,0.7248710494327106,0.7431403536183807,12,0.1637336948585104,1.3714155069322844,LGBMR,optuna,XLV,2019-06-03
297,0.07824535286411975,31,0.7995820131396948,0.606907021995214,16,0.10142899093641372,1.0379783330454506,LGBMR,optuna,XLY,2019-06-03
292,0.052623365164121805,31,0.712878347446118,0.6308235207384979,16,0.42341201476608603,1.164350941459298,LGBMR,optuna,VOX,2019-06-03
262,0.030994168107859266,41,0.7321188116524843,0.6093676318237713,10,0.1000106321633065,1.2717188562963773,LGBMR,optuna,XLU,2019-06-03
259,0.024265328963821838,46,0.6287933390683128,0.6838530449638011,15,0.12656655869859604,1.0959646177663347,LGBMR,optuna,IYR,2019-06-03
130,0.06314260425245402,46,0.6470316741163986,0.6619435791125577,17,0.10008050820868239,1.2094853469446094,LGBMR,optuna,XLK,2019-07-01
136,0.011567189896253046,31,0.7130053804110861,0.6254646726510319,14,0.29418629339540653,1.4257520113297244,LGBMR,optuna,XLB,2019-07-01
171,0.07965259120921869,36,0.6320460275624544,0.602068530857366,10,0.12388931927133431,1.301282775349035,LGBMR,optuna,XLI,2019-07-01
108,0.011842997705433282,50,0.7447446858075816,0.7986089673693819,17,0.49620164550109863,1.10433250555708,LGBMR,optuna,XLE,2019-07-01
256,0.02841870340027778,44,0.7889998256228685,0.7114512927873373,19,0.29941346373587185,1.0208819801166817,LGBMR,optuna,SPY,2019-07-01
103,0.07036480619645794,46,0.6263704197386053,0.7426904841522792,18,0.10023706978842159,1.4524220960658658,LGBMR,optuna,XLF,2019-07-01
156,0.0821058002659705,39,0.6614994783082707,0.7086377474275481,12,0.44957094388328145,1.1893846832517374,LGBMR,optuna,XLU,2019-07-01
181,0.09403135868250306,49,0.681042068044338,0.6430591014235089,20,0.16453812018709094,1.4924670267032243,LGBMR,optuna,XLY,2019-07-01
126,0.07727038755146513,35,0.7139080729144092,0.7738268473220425,10,0.130753344961871,1.1866723438890125,LGBMR,optuna,XLP,2019-07-01
173,0.04225811287430337,48,0.6220996644481877,0.7298114704239055,12,0.17357232750056426,1.2501542964114365,LGBMR,optuna,XLV,2019-07-01
133,0.0974386870264241,35,0.6011914474986008,0.6924912575219517,20,0.15321485842587007,1.3035504171291319,LGBMR,optuna,IYR,2019-07-01
274,0.08085022596028607,37,0.616997814719474,0.6362106254864069,15,0.46089498425128206,1.4669292099362456,LGBMR,optuna,VOX,2019-07-01
148,0.015517949482004113,35,0.6581948785042956,0.7753721392210875,13,0.10217579490504075,1.338912027682294,LGBMR,optuna,XLI,2019-08-01
192,0.06403909320976703,34,0.6695056761665255,0.7657121649848677,18,0.2300123134272395,1.213271622372044,LGBMR,optuna,XLB,2019-08-01
163,0.03769255954412955,31,0.6684106482274782,0.7627328172211998,12,0.10121399354553533,1.310637408592699,LGBMR,optuna,XLK,2019-08-01
155,0.07185311624962151,42,0.759442724822382,0.7916449118284484,12,0.18906015102994853,1.2870825643470007,LGBMR,optuna,XLE,2019-08-01
291,0.02479634755981399,36,0.6601558291162063,0.6667367545133154,16,0.3272634206273233,1.3411545793377915,LGBMR,optuna,SPY,2019-08-01
258,0.08882389454592643,36,0.7666556079717172,0.6237270840427916,17,0.1662478979075111,1.0399942035552965,LGBMR,optuna,XLP,2019-08-01
257,0.08984050118196715,43,0.7792180764900172,0.6172766401943679,17,0.4173464349545608,1.1145291322430884,LGBMR,optuna,XLY,2019-08-01
130,0.07765245555042238,35,0.6540894390829752,0.7137832502793388,16,0.12946844006656805,1.2632904780618024,LGBMR,optuna,XLV,2019-08-01
159,0.09950946388724963,36,0.6595123986953276,0.6649864568223465,20,0.10449970107873324,1.1102149035745494,LGBMR,optuna,VOX,2019-08-01
224,0.019963752099404902,50,0.6023754042381613,0.618472872129333,10,0.10558863304674937,1.2829394012752662,LGBMR,optuna,XLF,2019-08-01
206,0.06411775680717263,42,0.6723443566020681,0.7630430198590267,14,0.15038994154421217,1.0656747458915494,LGBMR,optuna,IYR,2019-08-01
194,0.08012468587891593,42,0.7384712974041359,0.7943738179066357,10,0.4826175821877464,1.3457622154878246,LGBMR,optuna,XLU,2019-08-01
292,0.05265132752955821,46,0.663980283549825,0.6987581264451818,12,0.2288209882871347,1.072151567721888,LGBMR,optuna,SPY,2019-09-03
233,0.01239598388368695,50,0.7209775339394131,0.7517807666731999,18,0.10180248284673434,1.4108912856104896,LGBMR,optuna,XLE,2019-09-03
238,0.04601889210164992,40,0.7277590648438564,0.759440867781545,17,0.1937734753379878,1.0996703591625459,LGBMR,optuna,XLB,2019-09-03
116,0.024474441927373306,41,0.7067772471833073,0.6890767487102067,13,0.14758050245316798,1.3252152464810427,LGBMR,optuna,XLY,2019-09-03
